tourney,surface,player,wins,prob_win
Adelaide,Hard,Gabi Adrian Boitan,10,0.005
Adelaide,Hard,Andres Andrade,10,0.005
Adelaide,Hard,Tommy Paul,10,0.005
Adelaide,Hard,Gijs Brouwer,10,0.005
Adelaide,Hard,Iliyan Radulov,10,0.005
Adelaide,Hard,Franco Roncadelli,10,0.005
Adelaide,Hard,Milos Raonic,9,0.0045
Adelaide,Hard,Dusan Lajovic,9,0.0045
Adelaide,Hard,Darian King,9,0.0045
Adelaide,Hard,Hamad Medjedovic,9,0.0045
Adelaide,Hard,Sebastian Korda,9,0.0045
Adelaide,Hard,Hong Kit Jack Wong,9,0.0045
Adelaide,Hard,Quentin Halys,8,0.004
Adelaide,Hard,Roberto Carballes Baena,8,0.004
Adelaide,Hard,Nam Hoang Ly,8,0.004
Adelaide,Hard,Thiago Monteiro,8,0.004
Adelaide,Hard,Pablo Carreno Busta,8,0.004
Adelaide,Hard,Diego Duran,7,0.0035
Adelaide,Hard,Nerman Fatic,7,0.0035
Adelaide,Hard,Marcos Giron,7,0.0035
Adelaide,Hard,Stylianos Christodoulou,7,0.0035
Adelaide,Hard,Oliver Ojakaar,7,0.0035
Adelaide,Hard,Matej Dodig,7,0.0035
Adelaide,Hard,Brandon Nakashima,7,0.0035
Adelaide,Hard,Alejandro Tabilo,7,0.0035
Adelaide,Hard,Yoshihito Nishioka,7,0.0035
Adelaide,Hard,Matteo Berrettini,7,0.0035
Adelaide,Hard,Francisco Cerundolo,7,0.0035
Adelaide,Hard,Matteo Arnaldi,6,0.003
Adelaide,Hard,Liova Ayite Ajavon,6,0.003
Adelaide,Hard,Zsombor Piros,6,0.003
Adelaide,Hard,Rafael Nadal,5,0.0025
Adelaide,Hard,Facundo Bagnis,5,0.0025
Adelaide,Hard,Giovanni Mpetshi Perricard,5,0.0025
Adelaide,Hard,Tomas Martin Etcheverry,5,0.0025
Adelaide,Hard,Stefanos Tsitsipas,5,0.0025
Adelaide,Hard,Hugo Nys,4,0.002
Adelaide,Hard,Reilly Opelka,3,0.0015
Adelaide,Hard,Jan Lennard Struff,2,0.001
Auckland,Hard,Jannik Sinner,244,0.122
Auckland,Hard,Grigor Dimitrov,48,0.024
Auckland,Hard,Alexander Zverev,44,0.022
Auckland,Hard,Carlos Alcaraz,41,0.0205
Auckland,Hard,Ugo Humbert,39,0.0195
Auckland,Hard,Alexei Popyrin,35,0.0175
Auckland,Hard,Andrey Rublev,31,0.0155
Auckland,Hard,Daniil Medvedev,28,0.014
Auckland,Hard,Karen Khachanov,26,0.013
Auckland,Hard,Taylor Fritz,25,0.0125
Auckland,Hard,Holger Rune,24,0.012
Auckland,Hard,Alex Michelsen,22,0.011
Auckland,Hard,Jack Draper,21,0.0105
Auckland,Hard,Jordan Thompson,20,0.01
Auckland,Hard,Jack Loutit,20,0.01
Auckland,Hard,Alex De Minaur,20,0.01
Auckland,Hard,Fitriadi M Rifqi,20,0.01
Auckland,Hard,Ricardas Berankis,20,0.01
Auckland,Hard,Nicolai Budkov Kjaer,19,0.0095
Auckland,Hard,Alejandro Davidovich Fokina,19,0.0095
Auckland,Hard,Bu Yunchaokete,19,0.0095
Auckland,Hard,Alexander Bublik,18,0.009
Auckland,Hard,Niki Kaliyanda Poonacha,18,0.009
Auckland,Hard,Emil Ruusuvuori,18,0.009
Auckland,Hard,Ben Shelton,18,0.009
Auckland,Hard,Cameron Norrie,18,0.009
Auckland,Hard,Sebastian Korda,17,0.0085
Auckland,Hard,Joao Fonseca,17,0.0085
Auckland,Hard,Beibit Zhukayev,17,0.0085
Auckland,Hard,David Goffin,17,0.0085
Auckland,Hard,Cezar Cretu,16,0.008
Auckland,Hard,Thomas Yaka Kofi Setodji,16,0.008
Auckland,Hard,Darian King,16,0.008
Auckland,Hard,Jakub Mensik,16,0.008
Auckland,Hard,Gael Monfils,16,0.008
Auckland,Hard,Alibek Kachmazov,16,0.008
Auckland,Hard,Andres Andrade,16,0.008
Auckland,Hard,Demetris Azoides,15,0.0075
Auckland,Hard,Tomas Machac,15,0.0075
Auckland,Hard,Hugo Nys,15,0.0075
Auckland,Hard,Alex Molcan,15,0.0075
Auckland,Hard,Henrique Rocha,15,0.0075
Auckland,Hard,Gabriel Diallo,15,0.0075
Auckland,Hard,Gabi Adrian Boitan,15,0.0075
Auckland,Hard,Martyn Pawelski,14,0.007
Auckland,Hard,Jiri Lehecka,14,0.007
Auckland,Hard,Hong Kit Jack Wong,14,0.007
Auckland,Hard,Alex Knaff,14,0.007
Auckland,Hard,Gonzalo Escobar,14,0.007
Auckland,Hard,Ioannis Xilas,14,0.007
Auckland,Hard,Jerome Kym,14,0.007
Auckland,Hard,Blaise Bicknell,14,0.007
Auckland,Hard,Juan Carlos Prado Angelo,14,0.007
Auckland,Hard,Juncheng Shang,14,0.007
Auckland,Hard,Altug Celikbilek,14,0.007
Auckland,Hard,Kei Nishikori,13,0.0065
Auckland,Hard,Stefanos Tsitsipas,13,0.0065
Auckland,Hard,Michael Mmoh,13,0.0065
Auckland,Hard,Frances Tiafoe,13,0.0065
Auckland,Hard,Iliyan Radulov,13,0.0065
Auckland,Hard,Marcelo Arevalo,13,0.0065
Auckland,Hard,Zizou Bergs,13,0.0065
Auckland,Hard,Lukas Pokorny,13,0.0065
Auckland,Hard,Benedict Badza,13,0.0065
Auckland,Hard,Arthur Fils,13,0.0065
Auckland,Hard,Hubert Hurkacz,13,0.0065
Auckland,Hard,Yanaki Milev,12,0.006
Auckland,Hard,Pablo Carreno Busta,12,0.006
Auckland,Hard,Casper Ruud,12,0.006
Auckland,Hard,Tallon Griekspoor,12,0.006
Auckland,Hard,Stylianos Christodoulou,12,0.006
Auckland,Hard,Flavio Cobolli,12,0.006
Auckland,Hard,Liova Ayite Ajavon,12,0.006
Auckland,Hard,Tommy Paul,12,0.006
Auckland,Hard,Nam Hoang Ly,12,0.006
Auckland,Hard,Hamad Medjedovic,12,0.006
Auckland,Hard,Gijs Brouwer,12,0.006
Auckland,Hard,Tomas Martin Etcheverry,11,0.0055
Auckland,Hard,Novak Djokovic,11,0.0055
Auckland,Hard,Aleksandre Bakshi,11,0.0055
Auckland,Hard,Milos Raonic,11,0.0055
Auckland,Hard,Romain Arneodo,11,0.0055
Auckland,Hard,Learner Tien,11,0.0055
Auckland,Hard,Chris Rodesch,11,0.0055
Auckland,Hard,Mohamed Safwat,11,0.0055
Auckland,Hard,Paul Jubb,11,0.0055
Auckland,Hard,Diego Duran,11,0.0055
Auckland,Hard,Coleman Wong,11,0.0055
Auckland,Hard,Nerman Fatic,11,0.0055
Auckland,Hard,Rafael Nadal,11,0.0055
Auckland,Hard,Viktor Durasovic,10,0.005
Auckland,Hard,Oliver Ojakaar,10,0.005
Auckland,Hard,Matteo Arnaldi,10,0.005
Auckland,Hard,Lucas Miedler,10,0.005
Auckland,Hard,Matej Dodig,10,0.005
Auckland,Hard,Denis Shapovalov,10,0.005
Auckland,Hard,Thiago Monteiro,10,0.005
Auckland,Hard,Vasek Pospisil,9,0.0045
Auckland,Hard,Thiago Agustin Tirante,9,0.0045
Auckland,Hard,Quentin Halys,9,0.0045
Auckland,Hard,Billy Harris,9,0.0045
Auckland,Hard,Nuno Borges,9,0.0045
Auckland,Hard,Remy Bertola,9,0.0045
Auckland,Hard,Yoshihito Nishioka,8,0.004
Auckland,Hard,Roberto Carballes Baena,8,0.004
Auckland,Hard,Boris Arias,8,0.004
Auckland,Hard,Elmer Moller,7,0.0035
Auckland,Hard,Dusan Lajovic,7,0.0035
Auckland,Hard,Zsombor Piros,7,0.0035
Auckland,Hard,Facundo Bagnis,7,0.0035
Auckland,Hard,Matteo Berrettini,7,0.0035
Auckland,Hard,Franco Roncadelli,6,0.003
Auckland,Hard,Francisco Cerundolo,6,0.003
Auckland,Hard,Martin Damm,6,0.003
Auckland,Hard,Marco Trungelliti,6,0.003
Auckland,Hard,Giovanni Mpetshi Perricard,6,0.003
Auckland,Hard,Brandon Nakashima,6,0.003
Auckland,Hard,Marcos Giron,6,0.003
Auckland,Hard,Timofey Skatov,6,0.003
Auckland,Hard,Reilly Opelka,6,0.003
Auckland,Hard,Felix Auger Aliassime,6,0.003
Auckland,Hard,Pablo Llamas Ruiz,5,0.0025
Auckland,Hard,Lorenzo Musetti,5,0.0025
Auckland,Hard,Alejandro Tabilo,5,0.0025
Auckland,Hard,Sebastian Baez,3,0.0015
Auckland,Hard,Lukas Neumayer,3,0.0015
Auckland,Hard,Roberto Bautista Agut,3,0.0015
Auckland,Hard,Jan Lennard Struff,1,0.0005
Australian Open,Hard,Jannik Sinner,259,0.1295
Australian Open,Hard,Grigor Dimitrov,50,0.025
Australian Open,Hard,Alexander Zverev,41,0.0205
Australian Open,Hard,Carlos Alcaraz,40,0.02
Australian Open,Hard,Alexei Popyrin,37,0.0185
Australian Open,Hard,Ugo Humbert,33,0.0165
Australian Open,Hard,Holger Rune,29,0.0145
Australian Open,Hard,Frances Tiafoe,28,0.014
Australian Open,Hard,Daniil Medvedev,27,0.0135
Australian Open,Hard,Alex De Minaur,27,0.0135
Australian Open,Hard,Andrey Rublev,26,0.013
Australian Open,Hard,Taylor Fritz,25,0.0125
Australian Open,Hard,Jack Draper,24,0.012
Australian Open,Hard,Jordan Thompson,24,0.012
Australian Open,Hard,Casper Ruud,23,0.0115
Australian Open,Hard,Remy Bertola,22,0.011
Australian Open,Hard,David Goffin,20,0.01
Australian Open,Hard,Emil Ruusuvuori,20,0.01
Australian Open,Hard,Alex Michelsen,20,0.01
Australian Open,Hard,Paul Jubb,19,0.0095
Australian Open,Hard,Ben Shelton,19,0.0095
Australian Open,Hard,Ricardas Berankis,19,0.0095
Australian Open,Hard,Alejandro Davidovich Fokina,19,0.0095
Australian Open,Hard,Jakub Mensik,18,0.009
Australian Open,Hard,Alexander Bublik,18,0.009
Australian Open,Hard,Boris Arias,17,0.0085
Australian Open,Hard,Kei Nishikori,17,0.0085
Australian Open,Hard,Nerman Fatic,17,0.0085
Australian Open,Hard,Nicolai Budkov Kjaer,16,0.008
Australian Open,Hard,Zizou Bergs,16,0.008
Australian Open,Hard,Blaise Bicknell,16,0.008
Australian Open,Hard,Karen Khachanov,16,0.008
Australian Open,Hard,Tomas Machac,16,0.008
Australian Open,Hard,Thomas Yaka Kofi Setodji,16,0.008
Australian Open,Hard,Iliyan Radulov,15,0.0075
Australian Open,Hard,Milos Raonic,15,0.0075
Australian Open,Hard,Pablo Llamas Ruiz,15,0.0075
Australian Open,Hard,Gael Monfils,15,0.0075
Australian Open,Hard,Elmer Moller,15,0.0075
Australian Open,Hard,Sebastian Korda,15,0.0075
Australian Open,Hard,Arthur Fils,14,0.007
Australian Open,Hard,Jerome Kym,14,0.007
Australian Open,Hard,Bu Yunchaokete,14,0.007
Australian Open,Hard,Rafael Nadal,14,0.007
Australian Open,Hard,Darian King,14,0.007
Australian Open,Hard,Learner Tien,14,0.007
Australian Open,Hard,Pablo Carreno Busta,14,0.007
Australian Open,Hard,Joao Fonseca,14,0.007
Australian Open,Hard,Fitriadi M Rifqi,14,0.007
Australian Open,Hard,Hong Kit Jack Wong,13,0.0065
Australian Open,Hard,Novak Djokovic,13,0.0065
Australian Open,Hard,Altug Celikbilek,13,0.0065
Australian Open,Hard,Aleksandre Bakshi,13,0.0065
Australian Open,Hard,Alibek Kachmazov,13,0.0065
Australian Open,Hard,Martin Damm,13,0.0065
Australian Open,Hard,Vasek Pospisil,13,0.0065
Australian Open,Hard,Niki Kaliyanda Poonacha,13,0.0065
Australian Open,Hard,Ioannis Xilas,13,0.0065
Australian Open,Hard,Martyn Pawelski,13,0.0065
Australian Open,Hard,Matej Dodig,13,0.0065
Australian Open,Hard,Marcelo Arevalo,13,0.0065
Australian Open,Hard,Thiago Agustin Tirante,12,0.006
Australian Open,Hard,Flavio Cobolli,12,0.006
Australian Open,Hard,Cameron Norrie,12,0.006
Australian Open,Hard,Nam Hoang Ly,12,0.006
Australian Open,Hard,Lucas Miedler,12,0.006
Australian Open,Hard,Gijs Brouwer,12,0.006
Australian Open,Hard,Beibit Zhukayev,12,0.006
Australian Open,Hard,Stylianos Christodoulou,12,0.006
Australian Open,Hard,Diego Duran,12,0.006
Australian Open,Hard,Gabriel Diallo,12,0.006
Australian Open,Hard,Tommy Paul,12,0.006
Australian Open,Hard,Gabi Adrian Boitan,11,0.0055
Australian Open,Hard,Jack Loutit,11,0.0055
Australian Open,Hard,Gonzalo Escobar,11,0.0055
Australian Open,Hard,Romain Arneodo,11,0.0055
Australian Open,Hard,Viktor Durasovic,11,0.0055
Australian Open,Hard,Benedict Badza,11,0.0055
Australian Open,Hard,Hamad Medjedovic,11,0.0055
Australian Open,Hard,Francisco Cerundolo,11,0.0055
Australian Open,Hard,Coleman Wong,10,0.005
Australian Open,Hard,Marcos Giron,10,0.005
Australian Open,Hard,Cezar Cretu,10,0.005
Australian Open,Hard,Matteo Arnaldi,10,0.005
Australian Open,Hard,Liova Ayite Ajavon,10,0.005
Australian Open,Hard,Michael Mmoh,10,0.005
Australian Open,Hard,Demetris Azoides,10,0.005
Australian Open,Hard,Denis Shapovalov,10,0.005
Australian Open,Hard,Henrique Rocha,10,0.005
Australian Open,Hard,Juncheng Shang,10,0.005
Australian Open,Hard,Quentin Halys,10,0.005
Australian Open,Hard,Felix Auger Aliassime,10,0.005
Australian Open,Hard,Alex Molcan,9,0.0045
Australian Open,Hard,Lukas Neumayer,9,0.0045
Australian Open,Hard,Yanaki Milev,9,0.0045
Australian Open,Hard,Brandon Nakashima,9,0.0045
Australian Open,Hard,Nuno Borges,9,0.0045
Australian Open,Hard,Roberto Bautista Agut,9,0.0045
Australian Open,Hard,Marco Trungelliti,9,0.0045
Australian Open,Hard,Roberto Carballes Baena,9,0.0045
Australian Open,Hard,Oliver Ojakaar,9,0.0045
Australian Open,Hard,Juan Carlos Prado Angelo,9,0.0045
Australian Open,Hard,Franco Roncadelli,8,0.004
Australian Open,Hard,Lukas Pokorny,8,0.004
Australian Open,Hard,Jiri Lehecka,8,0.004
Australian Open,Hard,Andres Andrade,8,0.004
Australian Open,Hard,Chris Rodesch,8,0.004
Australian Open,Hard,Thiago Monteiro,8,0.004
Australian Open,Hard,Tomas Martin Etcheverry,7,0.0035
Australian Open,Hard,Hugo Nys,7,0.0035
Australian Open,Hard,Tallon Griekspoor,7,0.0035
Australian Open,Hard,Giovanni Mpetshi Perricard,7,0.0035
Australian Open,Hard,Stefanos Tsitsipas,7,0.0035
Australian Open,Hard,Alex Knaff,7,0.0035
Australian Open,Hard,Jan Lennard Struff,7,0.0035
Australian Open,Hard,Reilly Opelka,7,0.0035
Australian Open,Hard,Hubert Hurkacz,7,0.0035
Australian Open,Hard,Facundo Bagnis,6,0.003
Australian Open,Hard,Zsombor Piros,6,0.003
Australian Open,Hard,Yoshihito Nishioka,6,0.003
Australian Open,Hard,Dusan Lajovic,6,0.003
Australian Open,Hard,Timofey Skatov,5,0.0025
Australian Open,Hard,Billy Harris,5,0.0025
Australian Open,Hard,Alejandro Tabilo,5,0.0025
Australian Open,Hard,Mohamed Safwat,5,0.0025
Australian Open,Hard,Matteo Berrettini,5,0.0025
Australian Open,Hard,Sebastian Baez,2,0.001
Australian Open,Hard,Lorenzo Musetti,2,0.001
Brisbane,Hard,Jannik Sinner,225,0.1125
Brisbane,Hard,Grigor Dimitrov,47,0.0235
Brisbane,Hard,Ugo Humbert,42,0.021
Brisbane,Hard,Alexei Popyrin,42,0.021
Brisbane,Hard,Alexander Zverev,40,0.02
Brisbane,Hard,Carlos Alcaraz,33,0.0165
Brisbane,Hard,Andrey Rublev,29,0.0145
Brisbane,Hard,Daniil Medvedev,26,0.013
Brisbane,Hard,Joao Fonseca,24,0.012
Brisbane,Hard,Karen Khachanov,24,0.012
Brisbane,Hard,Jack Draper,23,0.0115
Brisbane,Hard,Jordan Thompson,23,0.0115
Brisbane,Hard,Frances Tiafoe,22,0.011
Brisbane,Hard,Alex De Minaur,21,0.0105
Brisbane,Hard,Holger Rune,21,0.0105
Brisbane,Hard,Alejandro Davidovich Fokina,21,0.0105
Brisbane,Hard,Alex Michelsen,20,0.01
Brisbane,Hard,Emil Ruusuvuori,20,0.01
Brisbane,Hard,Henrique Rocha,20,0.01
Brisbane,Hard,Ben Shelton,20,0.01
Brisbane,Hard,Tommy Paul,20,0.01
Brisbane,Hard,Marcelo Arevalo,20,0.01
Brisbane,Hard,Kei Nishikori,20,0.01
Brisbane,Hard,Sebastian Korda,20,0.01
Brisbane,Hard,Flavio Cobolli,19,0.0095
Brisbane,Hard,Bu Yunchaokete,18,0.009
Brisbane,Hard,Niki Kaliyanda Poonacha,18,0.009
Brisbane,Hard,David Goffin,17,0.0085
Brisbane,Hard,Yoshihito Nishioka,17,0.0085
Brisbane,Hard,Arthur Fils,17,0.0085
Brisbane,Hard,Matteo Arnaldi,17,0.0085
Brisbane,Hard,Gael Monfils,17,0.0085
Brisbane,Hard,Nicolai Budkov Kjaer,17,0.0085
Brisbane,Hard,Learner Tien,17,0.0085
Brisbane,Hard,Chris Rodesch,17,0.0085
Brisbane,Hard,Darian King,16,0.008
Brisbane,Hard,Elmer Moller,16,0.008
Brisbane,Hard,Nerman Fatic,16,0.008
Brisbane,Hard,Taylor Fritz,16,0.008
Brisbane,Hard,Cameron Norrie,16,0.008
Brisbane,Hard,Cezar Cretu,16,0.008
Brisbane,Hard,Stylianos Christodoulou,16,0.008
Brisbane,Hard,Gabriel Diallo,15,0.0075
Brisbane,Hard,Jakub Mensik,15,0.0075
Brisbane,Hard,Ricardas Berankis,15,0.0075
Brisbane,Hard,Andres Andrade,15,0.0075
Brisbane,Hard,Novak Djokovic,15,0.0075
Brisbane,Hard,Pablo Carreno Busta,15,0.0075
Brisbane,Hard,Benedict Badza,14,0.007
Brisbane,Hard,Tomas Machac,14,0.007
Brisbane,Hard,Franco Roncadelli,14,0.007
Brisbane,Hard,Beibit Zhukayev,14,0.007
Brisbane,Hard,Iliyan Radulov,14,0.007
Brisbane,Hard,Brandon Nakashima,14,0.007
Brisbane,Hard,Lucas Miedler,13,0.0065
Brisbane,Hard,Gijs Brouwer,13,0.0065
Brisbane,Hard,Paul Jubb,13,0.0065
Brisbane,Hard,Juncheng Shang,13,0.0065
Brisbane,Hard,Juan Carlos Prado Angelo,13,0.0065
Brisbane,Hard,Blaise Bicknell,13,0.0065
Brisbane,Hard,Hugo Nys,13,0.0065
Brisbane,Hard,Gabi Adrian Boitan,13,0.0065
Brisbane,Hard,Aleksandre Bakshi,13,0.0065
Brisbane,Hard,Fitriadi M Rifqi,13,0.0065
Brisbane,Hard,Alex Knaff,13,0.0065
Brisbane,Hard,Remy Bertola,13,0.0065
Brisbane,Hard,Demetris Azoides,12,0.006
Brisbane,Hard,Liova Ayite Ajavon,12,0.006
Brisbane,Hard,Denis Shapovalov,12,0.006
Brisbane,Hard,Casper Ruud,12,0.006
Brisbane,Hard,Zizou Bergs,12,0.006
Brisbane,Hard,Viktor Durasovic,12,0.006
Brisbane,Hard,Altug Celikbilek,12,0.006
Brisbane,Hard,Stefanos Tsitsipas,12,0.006
Brisbane,Hard,Jerome Kym,12,0.006
Brisbane,Hard,Vasek Pospisil,12,0.006
Brisbane,Hard,Mohamed Safwat,11,0.0055
Brisbane,Hard,Michael Mmoh,11,0.0055
Brisbane,Hard,Alex Molcan,11,0.0055
Brisbane,Hard,Hubert Hurkacz,11,0.0055
Brisbane,Hard,Marcos Giron,11,0.0055
Brisbane,Hard,Rafael Nadal,11,0.0055
Brisbane,Hard,Yanaki Milev,11,0.0055
Brisbane,Hard,Thiago Agustin Tirante,11,0.0055
Brisbane,Hard,Facundo Bagnis,11,0.0055
Brisbane,Hard,Lorenzo Musetti,11,0.0055
Brisbane,Hard,Giovanni Mpetshi Perricard,10,0.005
Brisbane,Hard,Jack Loutit,10,0.005
Brisbane,Hard,Dusan Lajovic,10,0.005
Brisbane,Hard,Zsombor Piros,10,0.005
Brisbane,Hard,Alibek Kachmazov,10,0.005
Brisbane,Hard,Martyn Pawelski,10,0.005
Brisbane,Hard,Ioannis Xilas,10,0.005
Brisbane,Hard,Hong Kit Jack Wong,10,0.005
Brisbane,Hard,Tallon Griekspoor,10,0.005
Brisbane,Hard,Pablo Llamas Ruiz,10,0.005
Brisbane,Hard,Gonzalo Escobar,10,0.005
Brisbane,Hard,Jiri Lehecka,9,0.0045
Brisbane,Hard,Alexander Bublik,9,0.0045
Brisbane,Hard,Boris Arias,9,0.0045
Brisbane,Hard,Thiago Monteiro,9,0.0045
Brisbane,Hard,Roberto Carballes Baena,8,0.004
Brisbane,Hard,Nam Hoang Ly,8,0.004
Brisbane,Hard,Oliver Ojakaar,8,0.004
Brisbane,Hard,Lukas Pokorny,8,0.004
Brisbane,Hard,Romain Arneodo,8,0.004
Brisbane,Hard,Coleman Wong,8,0.004
Brisbane,Hard,Matteo Berrettini,8,0.004
Brisbane,Hard,Diego Duran,7,0.0035
Brisbane,Hard,Thomas Yaka Kofi Setodji,7,0.0035
Brisbane,Hard,Marco Trungelliti,7,0.0035
Brisbane,Hard,Lukas Neumayer,7,0.0035
Brisbane,Hard,Matej Dodig,7,0.0035
Brisbane,Hard,Milos Raonic,6,0.003
Brisbane,Hard,Martin Damm,6,0.003
Brisbane,Hard,Felix Auger Aliassime,6,0.003
Brisbane,Hard,Reilly Opelka,6,0.003
Brisbane,Hard,Nuno Borges,6,0.003
Brisbane,Hard,Hamad Medjedovic,6,0.003
Brisbane,Hard,Francisco Cerundolo,6,0.003
Brisbane,Hard,Billy Harris,6,0.003
Brisbane,Hard,Alejandro Tabilo,5,0.0025
Brisbane,Hard,Timofey Skatov,5,0.0025
Brisbane,Hard,Roberto Bautista Agut,5,0.0025
Brisbane,Hard,Quentin Halys,4,0.002
Brisbane,Hard,Tomas Martin Etcheverry,4,0.002
Brisbane,Hard,Jan Lennard Struff,4,0.002
Brisbane,Hard,Sebastian Baez,2,0.001
Davis Cup QLS R1: HUN vs GER,Hard,Jannik Sinner,265,0.1325
Davis Cup QLS R1: HUN vs GER,Hard,Alexander Zverev,41,0.0205
Davis Cup QLS R1: HUN vs GER,Hard,Ugo Humbert,41,0.0205
Davis Cup QLS R1: HUN vs GER,Hard,Alexei Popyrin,40,0.02
Davis Cup QLS R1: HUN vs GER,Hard,Grigor Dimitrov,38,0.019
Davis Cup QLS R1: HUN vs GER,Hard,Holger Rune,33,0.0165
Davis Cup QLS R1: HUN vs GER,Hard,Alex Michelsen,32,0.016
Davis Cup QLS R1: HUN vs GER,Hard,Carlos Alcaraz,31,0.0155
Davis Cup QLS R1: HUN vs GER,Hard,Karen Khachanov,27,0.0135
Davis Cup QLS R1: HUN vs GER,Hard,Daniil Medvedev,27,0.0135
Davis Cup QLS R1: HUN vs GER,Hard,Andrey Rublev,26,0.013
Davis Cup QLS R1: HUN vs GER,Hard,David Goffin,25,0.0125
Davis Cup QLS R1: HUN vs GER,Hard,Alex De Minaur,25,0.0125
Davis Cup QLS R1: HUN vs GER,Hard,Joao Fonseca,23,0.0115
Davis Cup QLS R1: HUN vs GER,Hard,Nicolai Budkov Kjaer,21,0.0105
